placement_id,placement,creative,cta_code,cta,image_code,image,text_code,text,cta_type,message_type,proof_point_and_intent
328678264,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CA_IA_HA_300x250_BAN_300x250_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CA,Learn More,IA,Kid in swing,HA,Start moving on low mortgage rates,Passive,Statement,Rates + Purchase
328677511,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CA_IA_HA_728x90_BAN_728x90_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CA,Learn More,IA,Kid in swing,HA,Start moving on low mortgage rates,Passive,Statement,Rates + Purchase
328677742,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CA_IE_HA_300x250_BAN_300x250_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CA,Learn More,IE,Couple with home & purple trees,HA,Start moving on low mortgage rates,Passive,Statement,Rates + Purchase
328677745,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CA_IE_HA_728x90_BAN_728x90_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CA,Learn More,IE,Couple with home & purple trees,HA,Start moving on low mortgage rates,Passive,Statement,Rates + Purchase
328517168,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CB_IB_HA_300x250_BAN_300x250_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CB,Get Started,IB,Smaller white house,HA,Start moving on low mortgage rates,Directive,Statement,Rates + Purchase
328531449,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CB_IB_HA_728x90_BAN_728x90_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CB,Get Started,IB,Smaller white house,HA,Start moving on low mortgage rates,Directive,Statement,Rates + Purchase
328678258,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CC_IC_HA_300x250_BAN_300x250_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CC,Apply Today,IC,Pup running,HA,Start moving on low mortgage rates,Directive,Statement,Rates + Purchase
328677940,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CC_IC_HA_728x90_BAN_728x90_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CC,Apply Today,IC,Pup running,HA,Start moving on low mortgage rates,Directive,Statement,Rates + Purchase
328677952,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CC_ID_HA_300x250_BAN_300x250_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CC,Apply Today,ID,BBQ,HA,Start moving on low mortgage rates,Directive,Statement,Rates + Purchase
328517555,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HA_StartMoving_CC_ID_HA_728x90_BAN_728x90_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,StartMoving,CC,Apply Today,ID,BBQ,HA,Start moving on low mortgage rates,Directive,Statement,Rates + Purchase
328677673,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HB_BuyingaHome1_CA_IA_HB_300x250_BAN_300x250_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,BuyingaHome1,CA,Learn More,IA,Kid in swing,HB,Buying a home? Move on today’s low rates.,Passive,Question,Rates + Purchase
328677679,Google_DIS_CO_MUL_1st2P3P_WF-Paid-EC-NMD-MTG-1P-CRMDMP-Feb20-NA + WF-Paid-EC-NMD-GNRL-1P-MIX_OTH_MTG & ENT + 2P & 3P_MUL_HB_BuyingaHome1_CA_IA_HB_728x90_BAN_728x90_NA_DCM_CPM_DIS_OEX_DV360_ENG_GM_National_HoK,BuyingaHome1,CA,Learn More,IA,Kid in swing,HB,Buying a home? Move on today’s low rates.,Passive,Question,Rates + Purchase
